"","x","y","SUMgammaE"
"1",37.5,10.5,0.0762021412891882
"2",38.5,10.5,0.0428582325016421
"3",39.5,10.5,0.00839391103141904
"4",40.5,10.5,-0.0384739730517756
"5",41.5,10.5,-0.0841937183824357
"6",42.5,10.5,-0.0759678982475342
"7",37.5,11.5,0.0542601562838883
"8",38.5,11.5,0.00664590568731175
"9",39.5,11.5,-0.0281410289652657
"10",40.5,11.5,-0.0796880670117539
"11",41.5,11.5,-0.139090752067985
"12",42.5,11.5,-0.12226924474633
"13",37.5,12.5,0.0149293321422192
"14",38.5,12.5,-0.0264415239683367
"15",39.5,12.5,-0.0409299530671577
"16",40.5,12.5,-0.0721255300172779
"17",41.5,12.5,-0.127733282719231
"18",42.5,12.5,-0.117899260734304
"19",38.5,13.5,-0.00422316768066572
"20",39.5,13.5,-0.0140802302365143
"21",40.5,13.5,-0.0369101523164686
"22",41.5,13.5,-0.0896781452259399
"23",42.5,13.5,-0.0927356003535669
"24",38.5,14.5,0.0152761624094726
"25",39.5,14.5,-0.0111929838375449
"26",40.5,14.5,-0.0415967319773781
"27",41.5,14.5,-0.0880448082396204
"28",42.5,14.5,-0.0867511224640827
"29",40.5,15.5,-0.0636824461205612
"30",41.5,15.5,-0.0990930105568866
"31",39.5,15.5,-0.0279308818947816
"32",42.5,15.5,-0.0864833541571383
"33",41.5,16.5,-0.0806874467152482
"34",42.5,16.5,-0.0667194843891743
"35",35.5,52.5,-0.00305819416687696
"36",35.5,53.5,-0.0591464817039266
"37",36.5,53.5,-0.0949921198913559
"38",37.5,53.5,-0.11943383175664
"39",35.5,54.5,-0.0991123803295576
"40",36.5,54.5,-0.142499813671259
"41",37.5,54.5,-0.163929355491017
"42",38.5,54.5,-0.187335159117238
"43",35.5,55.5,-0.12892263036573
"44",36.5,55.5,-0.179137097260765
"45",37.5,55.5,-0.198517087560818
"46",38.5,55.5,-0.228679979382252
"47",35.5,56.5,-0.155847861390608
"48",36.5,56.5,-0.213218733519886
"49",37.5,56.5,-0.221528142981538
"50",38.5,56.5,-0.238750494334975
"51",39.5,56.5,-0.229114014419693
"52",35.5,57.5,-0.186724461196822
"53",36.5,57.5,-0.261892518724606
"54",37.5,57.5,-0.263894851299074
"55",38.5,57.5,-0.260015515612997
"56",39.5,57.5,-0.243266766042103
"57",35.5,58.5,-0.20761484589566
"58",36.5,58.5,-0.310300412525477
"59",37.5,58.5,-0.328332012680714
"60",38.5,58.5,-0.321138137156424
"61",35.5,59.5,-0.153510849022491
"62",36.5,59.5,-0.240998259310747
"63",37.5,59.5,-0.268187479512199
"64",38.5,59.5,-0.269012707534
"65",38.5,15.5,0.010773205778771
"66",39.5,16.5,-0.0320215449948902
"67",40.5,16.5,-0.0588931815649267
"68",40.5,17.5,-0.0404104975422957
"69",41.5,17.5,-0.0431405309082685
"70",42.5,17.5,-0.0326689431528514
"71",35.5,51.5,0.0490866804954958
"72",36.5,52.5,-0.0270731671726238
"73",37.5,52.5,-0.0604148290229351
