"","x","y","SUMgammaE"
"1",15.5,79.5,-0.09852831553315
"2",12.5,10.5,0.0494906804535901
"3",13.5,10.5,0.0563935635020925
"4",14.5,10.5,0.0561465493259274
"5",15.5,10.5,0.0490916337603931
"6",15.5,77.5,-0.181780269417796
"7",15.5,78.5,-0.161945425937199
"8",12.5,79.5,-0.0656668994340888
"9",13.5,79.5,-0.090474722955105
"10",14.5,79.5,-0.110784213595905
"11",12.5,11.5,0.080565460172646
"12",13.5,11.5,0.0867259359495079
"13",14.5,11.5,0.0828971146418646
"14",15.5,11.5,0.0743693231686161
"15",13.5,12.5,0.0900895872678774
"16",15.5,76.5,-0.170958653839824
"17",14.5,77.5,-0.194900266657675
"18",12.5,78.5,-0.10809575248231
"19",13.5,78.5,-0.144621961556371
"20",14.5,78.5,-0.177903201840515
"21",12.5,12.5,0.090315410812375
"22",14.5,12.5,0.0788540073384572
"23",15.5,12.5,0.0721366397686579
"24",13.5,13.5,0.0808379469523392
"25",15.5,75.5,-0.144938319295415
"26",13.5,76.5,-0.153238783998375
"27",14.5,76.5,-0.181739512437146
"28",12.5,77.5,-0.124472838093361
"29",13.5,77.5,-0.159482199361989
"30",12.5,13.5,0.0859473115744791
"31",14.5,13.5,0.0614642522532878
"32",15.5,13.5,0.054601129016664
"33",12.5,14.5,0.0702666765034368
"34",13.5,14.5,0.0637814291476203
"35",14.5,14.5,0.0402546045908006
"36",15.5,14.5,0.0321999727414175
"37",13.5,75.5,-0.138007789034104
"38",14.5,75.5,-0.155847321198979
"39",12.5,76.5,-0.124843853438659
"40",12.5,15.5,0.0435457090426764
"41",13.5,15.5,0.0363120775098765
"42",14.5,15.5,0.015701152693371
"43",15.5,15.5,0.0101960350726827
"44",12.5,16.5,0.0138220214474465
"45",13.5,16.5,0.0057350045823347
"46",14.5,16.5,-0.00565625433556725
"47",15.5,16.5,-0.00461050886387624
"48",14.5,73.5,-0.110673987902235
"49",15.5,73.5,-0.0969845990198488
"50",12.5,74.5,-0.102244271351583
"51",13.5,74.5,-0.119293176155776
"52",14.5,74.5,-0.1279812211549
"53",15.5,74.5,-0.116301995717979
"54",12.5,75.5,-0.116073852734588
"55",12.5,17.5,-0.0074852676226819
"56",13.5,17.5,-0.0154189612603833
"57",14.5,17.5,-0.0154896071344309
"58",15.5,17.5,-0.00759998615929793
"59",12.5,18.5,-0.0184675995396379
"60",13.5,18.5,-0.0272162080763212
"61",14.5,18.5,-0.0187620419344013
"62",15.5,18.5,-0.00478772710737132
"63",14.5,72.5,-0.108737091904037
"64",15.5,72.5,-0.0908658716343643
"65",12.5,73.5,-0.0916789298348065
"66",13.5,73.5,-0.107394843327912
"67",12.5,19.5,-0.0248877404854193
"68",13.5,19.5,-0.0375859770630943
"69",14.5,19.5,-0.0258876776975255
"70",15.5,19.5,-0.0059596259413474
"71",14.5,20.5,-0.0332023276733632
"72",15.5,20.5,-0.0107776657939045
"73",13.5,71.5,-0.110623430890025
"74",14.5,71.5,-0.107497207723025
"75",15.5,71.5,-0.0869685978737616
"76",12.5,72.5,-0.0903681148105913
"77",13.5,72.5,-0.108429159945511
"78",12.5,20.5,-0.0283607929463491
"79",13.5,20.5,-0.0440698304856315
"80",14.5,21.5,-0.0300434327004754
"81",15.5,21.5,-0.0125223607971673
"82",14.5,69.5,-0.0505355176671501
"83",12.5,70.5,-0.0850008491358947
"84",13.5,70.5,-0.09688961028956
"85",14.5,70.5,-0.0880372170491529
"86",15.5,70.5,-0.070677325968932
"87",12.5,71.5,-0.0920273289497601
"88",12.5,21.5,-0.0278606004748065
