origin,destination,travelTime,entryTime,exitTime,travelDistance
12,8,47.891999999999825,25201.595,25249.487,NaN
4,6,27.90599999999904,25202.881,25230.787,NaN
12,8,46.75600000000122,25205.267,25252.023,NaN
12,10,42.677999999999884,25207.767,25250.445,NaN
12,6,54.08399999999892,25209.703,25263.787,NaN
12,8,47.056000000000495,25215.675,25262.731,NaN
12,8,45.32500000000073,25216.906,25262.231,NaN
12,5,61.42399999999907,25218.747,25280.171,NaN
12,1,66.06200000000172,25219.474,25285.536,NaN
12,10,74.24199999999837,25224.719,25298.961,NaN
12,6,63.52799999999843,25225.187,25288.715,NaN
12,6,48.348000000001775,25227.119,25275.467,NaN
13,8,63.788000000000466,25231.343,25295.131,NaN
12,8,52.89600000000064,25239.567,25292.463,NaN
8,6,23.812000000001717,25243.179,25266.991,NaN
12,6,53.75200000000041,25246.907,25300.659,NaN
12,8,62.27600000000166,25248.475,25310.751,NaN
1,6,25.002000000000407,25248.697,25273.699,NaN
13,6,61.40799999999945,25249.663,25311.071,NaN
1,8,37.358000000000175,25250.569,25287.927,NaN
12,6,52.547999999998865,25250.711,25303.259,NaN
1,5,22.151999999998225,25252.847,25274.999,NaN
1,8,98.5560000000005,25253.968,25352.524,NaN
12,6,75.27599999999802,25257.183,25332.459,NaN
14,1,74.9429999999993,25265.553,25340.496,NaN
12,6,59.65400000000227,25266.297,25325.951,NaN
1,14,63.93099999999686,25266.953,25330.884,NaN
12,8,54.56499999999869,25269.963,25324.528,NaN
12,1,76.69999999999709,25270.399,25347.099,NaN
1,8,57.34599999999773,25270.489,25327.835,NaN
12,8,61.840000000000146,25274.335,25336.175,NaN
12,1,64.52600000000166,25277.939,25342.465,NaN
14,6,89.53399999999965,25278.096,25367.63,NaN
13,8,87.94700000000012,25278.26,25366.207,NaN
3,13,84.20200000000114,25279.446,25363.648,NaN
1,14,72.9429999999993,25280.033,25352.976,NaN
1,12,68.31499999999869,25283.501,25351.816,NaN
11,14,92.1449999999968,25298.169,25390.314,NaN
13,8,45.336999999999534,25300.45,25345.787,NaN
-1,7,46.330000000001746,25301.589,25347.919,NaN
3,6,25.95300000000134,25301.87,25327.823,NaN
12,8,41.24799999999959,25303.667,25344.915,NaN
14,8,43.626000000000204,25305.629,25349.255,NaN
10,12,36.16600000000108,25306.569,25342.735,NaN
10,14,29.05500000000029,25307.769,25336.824,NaN
6,11,43.922999999998865,25309.203,25353.126,NaN
6,8,30.50800000000163,25309.303,25339.811,NaN
6,13,64.85999999999694,25310.203,25375.063,NaN
10,12,32.23700000000099,25310.538,25342.775,NaN
6,12,45.74799999999959,25311.203,25356.951,NaN
10,14,34.66500000000087,25311.372,25346.037,NaN
6,7,35.77899999999863,25312.071,25347.85,NaN
6,12,55.12800000000061,25313.467,25368.595,NaN
10,-1,35.26599999999962,25314.608,25349.874,NaN
10,12,38.10699999999997,25315.044,25353.151,NaN
10,14,39.03600000000006,25315.41,25354.446,NaN
6,12,58.233000000000175,25315.775,25374.008,NaN
10,8,52.49799999999959,25316.077,25368.575,NaN
1,12,59.67099999999846,25316.705,25376.376,NaN
6,13,68.92699999999968,25316.711,25385.638,NaN
6,12,63.32900000000154,25316.911,25380.24,NaN
10,14,39.501000000000204,25316.913,25356.414,NaN
6,14,61.45899999999892,25317.443,25378.902,NaN
10,12,41.81000000000131,25317.745,25359.555,NaN
6,12,67.4409999999989,25318.039,25385.48,NaN
10,-1,36.4320000000007,25318.045,25354.477,NaN
10,11,39.38799999999901,25318.914,25358.302,NaN
6,12,65.63600000000224,25319.011,25384.647,NaN
10,14,45.141999999999825,25319.312,25364.454,NaN
6,11,54.33899999999994,25319.379,25373.718,NaN
12,6,49.88299999999799,25320.147,25370.03,NaN
10,13,47.102999999999156,25320.181,25367.284,NaN
10,-1,42.60399999999936,25321.017,25363.621,NaN
6,14,64.33099999999831,25321.646,25385.977,NaN
10,11,31.876000000000204,25321.686,25353.562,NaN
6,13,70.83200000000215,25321.747,25392.579,NaN
10,12,45.11399999999776,25321.986,25367.1,NaN
10,14,45.942000000002736,25322.352,25368.294,NaN
10,13,42.7609999999986,25322.454,25365.215,NaN
12,6,70.63099999999758,25322.987,25393.618,NaN
10,14,49.413000000000466,25323.517,25372.93,NaN
10,14,47.4419999999991,25323.517,25370.959,NaN
6,7,27.741000000001804,25323.583,25351.324,NaN
10,14,48.67900000000009,25323.617,25372.296,NaN
6,-1,60.62799999999697,25323.65,25384.278,NaN
6,14,53.28399999999965,25323.65,25376.934,NaN
6,-1,58.35499999999956,25323.715,25382.07,NaN
10,13,36.59200000000055,25324.052,25360.644,NaN
10,8,89.36699999999837,25324.485,25413.852,NaN
6,13,67.86099999999715,25324.883,25392.744,NaN
10,13,46.00299999999697,25325.453,25371.456,NaN
10,13,49.50699999999779,25325.753,25375.26,NaN
6,13,66.85699999999997,25325.887,25392.744,NaN
6,12,68.84100000000035,25326.219,25395.06,NaN
12,8,53.92899999999645,25326.455,25380.384,NaN
6,13,57.91699999999764,25326.687,25384.604,NaN
6,14,58.690999999998894,25327.187,25385.878,NaN
6,-1,61.625,25327.255,25388.88,NaN
10,14,46.40899999999965,25327.321,25373.73,NaN
6,-1,64.52899999999863,25327.855,25392.384,NaN
6,14,66.5659999999989,25328.087,25394.653,NaN
6,7,38.68600000000151,25328.123,25366.809,NaN
10,14,47.61000000000058,25328.424,25376.034,NaN
6,12,68.77699999999822,25328.455,25397.232,NaN
10,14,51.280000000002474,25328.457,25379.737,NaN
10,13,30.61999999999898,25328.526,25359.146,NaN
6,12,69.74500000000262,25328.887,25398.632,NaN
12,7,48.5570000000007,25330.295,25378.852,NaN
6,12,69.54000000000087,25330.323,25399.863,NaN
12,8,55.167999999997846,25330.791,25385.959,NaN
6,14,65.52999999999884,25330.859,25396.389,NaN
6,13,78.60800000000017,25330.891,25409.499,NaN
6,14,69.90699999999924,25331.555,25401.462,NaN
2,6,40.96399999999994,25331.802,25372.766,NaN
6,11,57.474999999998545,25332.059,25389.534,NaN
6,14,72.20899999999892,25332.187,25404.396,NaN
12,7,57.40200000000186,25332.831,25390.233,NaN
6,14,76.63899999999921,25333.091,25409.73,NaN
10,8,76.82600000000093,25333.261,25410.087,NaN
6,12,71.01300000000265,25333.459,25404.472,NaN
6,12,70.08099999999831,25333.991,25404.072,NaN
13,8,56.647000000000844,25334.284,25390.931,NaN
10,13,45.23699999999735,25334.329,25379.566,NaN
6,-1,73.80300000000352,25334.563,25408.366,NaN
6,12,81.28900000000067,25334.623,25415.912,NaN
6,14,80.37899999999718,25335.095,25415.474,NaN
6,7,115.22799999999916,25335.163,25450.391,NaN
6,11,70.75599999999758,25335.526,25406.282,NaN
12,6,62.39500000000044,25335.867,25398.262,NaN
10,14,47.51199999999881,25335.997,25383.509,NaN
10,13,53.542999999997846,25336.165,25389.708,NaN
6,13,82.3760000000002,25336.363,25418.739,NaN
6,14,79.24400000000242,25336.798,25416.042,NaN
10,13,51.10900000000038,25337.202,25388.311,NaN
6,12,75.75,25337.358,25413.108,NaN
6,14,81.31100000000151,25337.463,25418.774,NaN
6,14,82.71800000000076,25337.495,25420.213,NaN
6,14,81.84300000000076,25338.699,25420.542,NaN
6,7,36.41700000000128,25338.931,25375.348,NaN
6,14,87.3869999999988,25339.231,25426.618,NaN
6,13,75.80299999999988,25339.367,25415.17,NaN
6,13,83.54100000000108,25339.567,25423.108,NaN
6,13,83.6130000000012,25340.334,25423.947,NaN
10,11,31.64099999999962,25340.536,25372.177,NaN
6,13,80.50799999999799,25341.401,25421.909,NaN
6,7,44.73099999999977,25341.798,25386.529,NaN
13,7,67.89300000000003,25342.092,25409.985,NaN
12,8,50.3269999999975,25349.648,25399.975,NaN
6,11,42.82300000000032,25350.51,25393.333,NaN
12,8,49.45900000000256,25353.652,25403.111,NaN
6,7,42.931000000000495,25355.01,25397.941,NaN
6,3,37.88299999999799,25356.45,25394.333,NaN
12,6,61.663000000000466,25359.319,25420.982,NaN
6,1,21.88300000000163,25359.821,25381.704,NaN
1,7,45.98699999999735,25359.862,25405.849,NaN
6,3,24.708000000002357,25360.853,25385.561,NaN
6,1,31.675999999999476,25361.022,25392.698,NaN
6,3,32.74600000000282,25361.923,25394.669,NaN
12,7,49.793000000001484,25362.496,25412.289,NaN
6,3,29.74199999999837,25362.559,25392.301,NaN
12,7,57.409999999999854,25362.755,25420.165,NaN
12,7,54.8640000000014,25362.796,25417.66,NaN
